Article Name,Topic,Functions Spanned,Live Link
Manage your brands with HubSpot Brands,Branding,Business Units; Domains; Teams; Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Knowledge Base,https://knowledge.hubspot.com/branding/manage-your-brands-with-hubspot-brands
Prepare HubSpot assets for a company rebrand,Branding,Account Settings; Brand Domains; Domains; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Website Pages; Knowledge Base,https://knowledge.hubspot.com/branding/prepare-hubspot-assets-for-a-company-rebrand
Set up and use the brand assistant,Branding,Users; Breeze; Ai; Subscriptions; Blog; Cms; Content; Landing Pages; Website Pages; Knowledge Base; Ads; Email,https://knowledge.hubspot.com/branding/set-up-and-use-the-brand-assistant
Set up brand voice using AI,Branding,Permissions; Users; Breeze; Ai; Subscriptions; Blog; Cms; Content; Landing Pages; Website Pages; Knowledge Base; Email,https://knowledge.hubspot.com/branding/set-up-brand-voice-using-ai
Set up brand voice using content samples,Branding,Permissions; Users; Breeze; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Social,https://knowledge.hubspot.com/branding/set-up-brand-voice-using-content-samples
View and filter records,Calling,Permissions; Users; Ai; Payments; Subscriptions; Quotes; Products; Line Items; Blog; Cms; Content; Knowledge Base,https://knowledge.hubspot.com/calling/a-guide-to-your-calls-home
Acquire and validate HubSpot-provided phone numbers,Calling,Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Calling; Conversations Inbox; Help Desk,https://knowledge.hubspot.com/calling/acquire-and-validate-hubspot-provided-phone-numbers
Add HubSpot widgets to your mobile home and lock screen,Calling,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Email; Calling; Tasks,https://knowledge.hubspot.com/calling/add-a-hubspot-widget-to-your-mobile-home-and-lock-screen
Calling | Frequently Asked Questions,Calling,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Email; Analytics; Calling,https://knowledge.hubspot.com/calling/calling-frequently-asked-questions
"Configure call routing, work hours, and voicemail",Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Calling; Manage availability through working hours and voicemail; Customize voicemail,https://knowledge.hubspot.com/calling/configure-call-routing-work-hours-and-voicemail
Connect a calling app channel in help desk,Calling,Teams; Users; Ai; Automation; Subscriptions; Blog; Cms; Content; Knowledge Base; Tickets; Properties; Email,https://knowledge.hubspot.com/calling/connect-a-calling-app-channel-in-help-desk
Create custom call and meeting outcomes,Calling,Permissions; Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Analytics,https://knowledge.hubspot.com/calling/create-custom-call-and-meeting-outcomes
Set up a Twilio Connect account in HubSpot,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Calling,https://knowledge.hubspot.com/calling/hubspot-calling-minutes
Improve your transcripts,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Calling,https://knowledge.hubspot.com/calling/improve-your-call-transcripts
Use a calling app to make and receive calls in HubSpot,Calling,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Records; Email; Calling; Connect a calling app,https://knowledge.hubspot.com/calling/integrate-a-third-party-calling-provider-with-hubspot
Make calls from the HubSpot mobile app,Calling,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Records; Associations; Email; Calling,https://knowledge.hubspot.com/calling/make-calls-from-the-hubspot-mobile-app
Make calls in the HubSpot browser,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Email; Calling; Conversations Inbox; Inbox,https://knowledge.hubspot.com/calling/make-calls-in-the-hubspot-browser
Manage call settings and preferences,Calling,Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Records; Email; Calling; Customize recording consent message for inbound calls,https://knowledge.hubspot.com/calling/manage-call-settings-and-preferences
"Manage Caller ID, manual contact syncs, and call logs in the HubSpot mobile app",Calling,Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Email; Forms,https://knowledge.hubspot.com/calling/manage-caller-id-manual-contact-syncs-and-call-logs-in-the-hubspot-mobile-app
Set up calling,Calling,Teams; Users; Ai; Workflow; Workflows; Automation; Subscriptions; Blog; Cms; Content; Knowledge Base; Ads,https://knowledge.hubspot.com/calling/manage-phone-numbers-registered-for-calling
Port a number to HubSpot,Calling,Domains; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Lists; Email; Forms; Calling,https://knowledge.hubspot.com/calling/port-out-a-hubspot-phone-number
Receive calls in the HubSpot browser,Calling,Users; Breeze; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Companies; Records; Email,https://knowledge.hubspot.com/calling/receive-calls-in-hubspot
Use a calling app to make and receive calls in HubSpot,Calling,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Records; Email; Calling; Connect a calling app,https://knowledge.hubspot.com/calling/receive-inbound-calls-with-calling-apps-within-hubspot
Register an outbound phone number,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Calling,https://knowledge.hubspot.com/calling/register-an-outbound-phone-number
Review call recordings and transcripts,Calling,Permissions; Users; Breeze; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Companies,https://knowledge.hubspot.com/calling/review-call-recordings-and-transcripts
Review calls in the call index,Calling,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Companies; Deals; Tickets,https://knowledge.hubspot.com/calling/review-calls-in-the-call-index
Set up a calling channel in help desk,Calling,Teams; Users; Breeze; Ai; Automation; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Tickets,https://knowledge.hubspot.com/calling/set-up-a-calling-channel-in-help-desk
Set up a calling channel in the Conversations Inbox,Calling,Teams; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Email; Calling; Conversations Inbox,https://knowledge.hubspot.com/calling/set-up-a-calling-channel-in-the-conversations-inbox
Set up interactive voice response,Calling,Users; Ai; Enrollment; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Calling; Meetings; Help Desk,https://knowledge.hubspot.com/calling/set-up-interactive-voice-response
Set up number verification to improve call trust and deliverability,Calling,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Calling; Set up your business profile,https://knowledge.hubspot.com/calling/set-up-number-verification-to-improve-call-trust-and-deliverability
Use coaching playlists to train your team,Calling,Permissions; Teams; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Lists; Email; Calling,https://knowledge.hubspot.com/calling/use-coaching-playlists-to-train-your-team
Use pre-recorded voicemail drops with the power dialer,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Email; Calling; Use voicemail drops in the power dialer,https://knowledge.hubspot.com/calling/use-pre-recorded-voicemail-drops-with-the-power-dialer
Make calls in the HubSpot browser,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Email; Calling; Conversations Inbox; Inbox,https://knowledge.hubspot.com/calling/use-the-calling-tool
Use the sales power dialer,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Email; Calling; Tasks; Use the sales power dialer,https://knowledge.hubspot.com/calling/use-the-sales-power
Call recording laws,Calling,Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Records; Email; Calling,https://knowledge.hubspot.com/calling/what-are-the-call-recording-laws
Technical requirements to use the calling tool,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Calling,https://knowledge.hubspot.com/calling/what-are-the-technical-requirements-to-use-the-calling-tool
Supported countries for HubSpot calling,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Campaigns; Email; Calling,https://knowledge.hubspot.com/calling/what-countries-are-supported-by-calling
Microphone not working when making calls in the CRM,Calling,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Calling,https://knowledge.hubspot.com/calling/why-is-my-microphone-not-working-when-making-calls
Call recording not saved in HubSpot,Calling,Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Calling; Call did not connect,https://knowledge.hubspot.com/calling/why-wasnt-my-call-recorded-in-hubspot-sales
Add comments to your HubSpot assets,Campaigns,Permissions; Teams; Users; Ai; Workflow; Workflows; Branches; Subscriptions; Products; Blog; Cms; Content,https://knowledge.hubspot.com/campaigns/add-comments-to-your-hubspot-assets
Analyze individual campaign performance,Campaigns,Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Deals; Lists,https://knowledge.hubspot.com/campaigns/analyze-campaigns
Analyze campaigns,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Properties; Campaigns; Email; Analytics,https://knowledge.hubspot.com/campaigns/analyze-overall-campaigns
Analyze your campaign ROI,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Deals; Ads; Campaigns; Email,https://knowledge.hubspot.com/campaigns/analyze-your-campaign-roi
Analyze your campaign's contact lifecycle stage metrics,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Ads; Campaigns; Email; Dashboards,https://knowledge.hubspot.com/campaigns/analyze-your-campaigns-contact-lifecycle-metrics
Associate assets and content with a campaign,Campaigns,Permissions; Users; Ai; Workflow; Workflows; Enrollment; Subscriptions; Blog; Cms; Content; Landing Pages; Website Pages,https://knowledge.hubspot.com/campaigns/associate-assets-and-content-with-a-campaign
Associate external website pages with a campaign,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Website Pages; Knowledge Base; Contacts; Campaigns; Email; Analytics,https://knowledge.hubspot.com/campaigns/associate-external-pages-campaigns
Create assets with campaign assistant,Campaigns,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Landing Pages; Knowledge Base; Ads; Campaigns; Email,https://knowledge.hubspot.com/campaigns/campaign-assistant
Understand your campaign details page,Campaigns,Teams; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Properties; Campaigns; Email; Attribution,https://knowledge.hubspot.com/campaigns/campaign-details-page
Understand your campaign's influenced contacts,Campaigns,Users; Ai; Workflow; Subscriptions; Blog; Cms; Content; Landing Pages; Website Pages; Knowledge Base; Contacts; Lists,https://knowledge.hubspot.com/campaigns/campaign-influenced-contacts
Manage your campaign properties,Campaigns,Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Records; Properties; Campaigns; Email,https://knowledge.hubspot.com/campaigns/campaign-properties
Create campaigns using campaign templates,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Properties; Campaigns; Email; Forms,https://knowledge.hubspot.com/campaigns/campaign-templates
Campaigns | Frequently Asked Questions,Campaigns,Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Deals; Lists,https://knowledge.hubspot.com/campaigns/campaigns-faq
Use the collaboration sidebar,Campaigns,Users; Breeze; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Landing Pages; Website Pages; Knowledge Base,https://knowledge.hubspot.com/campaigns/collaboration-sidebar
Understand your comment notifications,Campaigns,Teams; Users; Ai; Workflow; Workflows; Subscriptions; Products; Blog; Cms; Content; Landing Pages; Website Pages,https://knowledge.hubspot.com/campaigns/comment-notification-emails
Create and add marketing events in Marketing Studio,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Ads; Campaigns; Email; Create and add marketing events to campaigns in Marketing Studio,https://knowledge.hubspot.com/campaigns/create-and-add-marketing-events-in-marketing-studio
Create campaigns,Campaigns,Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Landing Pages; Knowledge Base; Contacts; Properties,https://knowledge.hubspot.com/campaigns/create-campaigns
Create campaigns using Marketing Studio,Campaigns,Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Landing Pages; Website Pages; Knowledge Base; Lists,https://knowledge.hubspot.com/campaigns/create-campaigns-using-marketing-studio
Create and assign tasks from the campaigns tool,Campaigns,Permissions; Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Landing Pages; Knowledge Base; Campaigns,https://knowledge.hubspot.com/campaigns/create-marketing-tasks-with-the-campaigns-tool
Delete and restore campaigns,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Campaigns; Email,https://knowledge.hubspot.com/campaigns/delete-and-restore-campaigns
Generate campaign insights using AI,Campaigns,Users; Breeze; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Ads; Campaigns; Email,https://knowledge.hubspot.com/campaigns/generate-campaign-insights-using-ai
Generate tasks from comments,Campaigns,Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Landing Pages; Website Pages; Knowledge Base; Ads,https://knowledge.hubspot.com/campaigns/generate-tasks-from-comments
Manage campaigns,Campaigns,Permissions; Teams; Users; Breeze; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Landing Pages,https://knowledge.hubspot.com/campaigns/manage-campaigns
Manage campaigns in Marketing Studio,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Properties; Ads; Campaigns; Email,https://knowledge.hubspot.com/campaigns/manage-campaigns-in-marketing-studio
Manage tasks from your marketing experience home in the HubSpot mobile app,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Campaigns; Email; Tasks; Manage your tasks in the mobile app; Create new tasks,https://knowledge.hubspot.com/campaigns/manage-marketing-tasks-in-the-hubspot-mobile-app
Manage your campaign budget,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Lists; Ads; Campaigns; Email; Manage existing campaign budget or campaign spend items,https://knowledge.hubspot.com/campaigns/manage-your-campaign-budget
Manage your campaign settings in Marketing Studio,Campaigns,Teams; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Properties; Ads; Campaigns; Email,https://knowledge.hubspot.com/campaigns/manage-your-campaign-settings-in-marketing-studio
Manage your campaign UTM values,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Campaigns; Email; Analytics; Configure campaign UTM values,https://knowledge.hubspot.com/campaigns/manage-your-campaign-utm-values
Manually associate CRM records with campaigns,Campaigns,Permissions; Users; Ai; Workflow; Workflows; Enrollment; Automation; Subscriptions; Blog; Cms; Content; Knowledge Base,https://knowledge.hubspot.com/campaigns/manually-associate-crm-records-with-campaigns
Organize campaigns using views and folders,Campaigns,Teams; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Records; Properties; Campaigns; Email,https://knowledge.hubspot.com/campaigns/organize-campaigns-using-views-and-folders
Report on campaigns using the custom report builder,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Landing Pages; Knowledge Base; Contacts; Companies; Deals; Properties,https://knowledge.hubspot.com/campaigns/report-on-campaigns-using-the-custom-report-builder
Review and manage campaign associations using CRM cards,Campaigns,Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Deals; Tickets; Records,https://knowledge.hubspot.com/campaigns/review-and-manage-campaign-associations-using-crm-cards
Review campaign activity history,Campaigns,Users; Breeze; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Campaigns; Email,https://knowledge.hubspot.com/campaigns/review-campaign-history
Review the performance of multiple campaigns,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Deals; Campaigns; Email; Attribution,https://knowledge.hubspot.com/campaigns/review-the-performance-for-multiple-campaigns
Review your campaign performance in Marketing Studio,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Ads; Campaigns; Email; Forms; Marketing Email,https://knowledge.hubspot.com/campaigns/review-your-campaign-performance-in-marketing-studio
Understand your campaign metrics,Campaigns,Users; Ai; Workflow; Workflows; Enrollment; Subscriptions; Blog; Cms; Content; Landing Pages; Website Pages; Knowledge Base,https://knowledge.hubspot.com/campaigns/understand-campaign-metrics
Understand Campaigns,Campaigns,Teams; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Landing Pages; Website Pages; Knowledge Base; Contacts,https://knowledge.hubspot.com/campaigns/understand-campaigns
Understand Loop Marketing,Campaigns,Permissions; Users; Breeze; Ai; Agents; Content Remix; Workflow; Workflows; Subscriptions; Products; Blog; Cms,https://knowledge.hubspot.com/campaigns/understand-loop-marketing
Use campaign attribution reports,Campaigns,Users; Ai; Workflow; Workflows; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Deals; Lists,https://knowledge.hubspot.com/campaigns/use-campaign-attribution-reports
Use home for marketing in the HubSpot mobile app,Campaigns,Domains; Users; Ai; Workflow; Subscriptions; Blog; Cms; Content; Knowledge Base; Campaigns; Email; Social,https://knowledge.hubspot.com/campaigns/use-marketing-home-on-mobile
Use the campaign goals tracker,Campaigns,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Deals; Ads; Campaigns; Email; Leads,https://knowledge.hubspot.com/campaigns/use-the-campaign-goals-tracker
Plan your campaigns with the marketing calendar,Campaigns,Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Campaigns; Email; Marketing Email; Social,https://knowledge.hubspot.com/campaigns/use-your-marketing-calendar
Choose your rule-based chatbot actions,Chatflows,Account Settings; Permissions; Teams; Users; Ai; Workflow; Workflows; Branches; Subscriptions; Products; Blog; Cms,https://knowledge.hubspot.com/chatflows/a-guide-to-bot-actions
Add a chatflow to your WordPress pages,Chatflows,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Forms; Chatflows; Conversations Inbox,https://knowledge.hubspot.com/chatflows/add-a-chatflow-to-your-wordpress-pages
Analyze your rule-based chatbot's performance,Chatflows,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Chatflows,https://knowledge.hubspot.com/chatflows/analyze-your-bots-performance
Troubleshoot chat widget not appearing on website pages,Chatflows,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Website Pages; Knowledge Base; Contacts; Lists; Email,https://knowledge.hubspot.com/chatflows/chat-widget-is-not-appearing-on-your-pages
Chat with logged in visitors,Chatflows,Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Chatflows; Conversations Inbox; Help Desk; Inbox,https://knowledge.hubspot.com/chatflows/chat-with-logged-in-visitors
Create a rule-based chatbot,Chatflows,Permissions; Teams; Users; Breeze; Ai; Branches; Subscriptions; Products; Blog; Cms; Content; Landing Pages,https://knowledge.hubspot.com/chatflows/create-a-bot
Create a chatflow for Facebook Messenger,Chatflows,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Website Pages; Knowledge Base; Ctas; Email; Marketing Email,https://knowledge.hubspot.com/chatflows/create-a-facebook-messenger-chatflow
Create a live chat,Chatflows,Permissions; Teams; Users; Ai; Agents; Subscriptions; Products; Blog; Cms; Content; Website Pages; Knowledge Base,https://knowledge.hubspot.com/chatflows/create-a-live-chat
Create and customize a mobile chatflow,Chatflows,Permissions; Teams; Users; Breeze; Ai; Agents; Subscriptions; Products; Blog; Cms; Content; Knowledge Base,https://knowledge.hubspot.com/chatflows/create-and-customize-a-mobile-chatflow
Edit your chatflow's language settings,Chatflows,Account Settings; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Landing Pages; Website Pages; Knowledge Base; Email,https://knowledge.hubspot.com/chatflows/edit-your-chatflows-language-settings
Integrate a HubSpot chatflow with a mobile app,Chatflows,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Tickets; Properties; Email; Analytics,https://knowledge.hubspot.com/chatflows/integrate-a-hubspot-chatflow-with-a-mobile-app
Send a rule-based chatbot to the customer agent,Chatflows,Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Chatflows,https://knowledge.hubspot.com/chatflows/send-a-rule-based-chatbot-to-the-customer-agent
Set a priority for chatflows,Chatflows,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Lists; Ctas; Email; Chatflows,https://knowledge.hubspot.com/chatflows/set-a-priority-for-your-chatflows
Connect channels to the conversations inbox,Chatflows,Permissions; Teams; Users; Ai; Agents; Automation; Subscriptions; Products; Blog; Cms; Content; Website Pages,https://knowledge.hubspot.com/chatflows/set-hubspot-conversations-as-the-primary-receiver-for-facebook-messenger
Use if/then branches in bots,Chatflows,Teams; Users; Ai; Workflow; Branches; Subscriptions; Blog; Cms; Content; Knowledge Base; Email; Chatflows,https://knowledge.hubspot.com/chatflows/use-if-then-branches-with-chatflows
Add an email alias,Connected Email,Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Companies; Deals,https://knowledge.hubspot.com/connected-email/add-an-email-alias
Exclude recipients from CRM email and meeting logging,Connected Email,Domains; Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Records,https://knowledge.hubspot.com/connected-email/add-emails-and-domains-to-the-never-log-list
HubSpot Sales for Outlook install error: 'An error occurred attempting to install HubSpot Sales in Outlook',Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email,https://knowledge.hubspot.com/connected-email/an-error-occurred-attempting-to-install-hubspot-sales-in-outlook
Automatically populate contact properties from emails,Connected Email,Permissions; Users; Ai; Automation; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Records,https://knowledge.hubspot.com/connected-email/automatically-populate-contact-properties-with-hubspot-ai
Block self-open email notifications with the HubSpot Sales Outlook desktop add-in or Chrome extension,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Email; Analytics; Inbox,https://knowledge.hubspot.com/connected-email/block-self-open-notifications-with-the-hubspot-sales-outlook-add-in-or-chrome-extension
Connect a personal or team email to the conversations inbox,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Ads; Email; Leads,https://knowledge.hubspot.com/connected-email/choose-an-inbox-connection
Connect Microsoft 365 GCC High inboxes to HubSpot,Connected Email,Permissions; Users; Ai; Automation; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Inbox,https://knowledge.hubspot.com/connected-email/connect-inboxes-hosted-by-office-365-gcc-high
Connect your personal email,Connected Email,Permissions; Users; Ai; Automation; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Lists,https://knowledge.hubspot.com/connected-email/connect-your-inbox-to-hubspot
Turn on connected inbox automation,Connected Email,Users; Ai; Automation; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Properties; Email; Tasks,https://knowledge.hubspot.com/connected-email/connected-inbox-automation
Connected inbox error: 'This email couldn't be sent using your connected inbox',Connected Email,Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Inbox,https://knowledge.hubspot.com/connected-email/connected-inbox-error-this-email-couldnt-be-sent
Customize HubSpot Sales Chrome extension settings,Connected Email,Account Settings; Domains; Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts,https://knowledge.hubspot.com/connected-email/customize-your-hubspot-sales-chrome-extension-default-configuration-options
Customize your HubSpot Sales Office 365 add-in settings,Connected Email,Account Settings; Domains; Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts,https://knowledge.hubspot.com/connected-email/customize-your-hubspot-sales-office-365-add-in
Customize your HubSpot Sales Outlook desktop add-in,Connected Email,Account Settings; Domains; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Companies,https://knowledge.hubspot.com/connected-email/customize-your-hubspot-sales-outlook-desktop-add-in
Disconnect or reconnect your inbox from HubSpot,Connected Email,Account Settings; Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Conversations Inbox,https://knowledge.hubspot.com/connected-email/disconnect-your-inbox-from-hubspot
Edit the default font for emails sent from the CRM and conversations inbox,Connected Email,Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Email; Marketing Email,https://knowledge.hubspot.com/connected-email/edit-the-font-in-your-crm-emails
Find your email server's IMAP and SMTP information,Connected Email,Account Settings; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Inbox,https://knowledge.hubspot.com/connected-email/find-your-email-server-imap-and-smtp-information
Generate sales emails in the HubSpot Sales Office 365 add-in using AI,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Ads; Email; Leads,https://knowledge.hubspot.com/connected-email/generate-sales-emails-in-the-hubspot-sales-office-365-add-in-using-ai-assistant
Set up the HubSpot Sales Chrome extension,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Records; Email; Meetings,https://knowledge.hubspot.com/connected-email/get-started-with-the-hubspot-sales-chrome-extension
Set up the HubSpot Sales Office 365 add-in,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Inbox,https://knowledge.hubspot.com/connected-email/get-started-with-the-hubspot-sales-office-365-add-in
Set up the Outlook desktop add-in,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Inbox,https://knowledge.hubspot.com/connected-email/get-started-with-the-outlook-desktop-add-in
Install HubSpot Sales for Gmail and Office 365,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email; Inbox,https://knowledge.hubspot.com/connected-email/how-to-install-hubspot-sales
HubSpot connected inboxes | Frequently Asked Questions,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Records; Ads; Email,https://knowledge.hubspot.com/connected-email/hubspot-crm-email-integration-faq
HubSpot Sales not appearing in Outlook inbox,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Ads; Email; Inbox,https://knowledge.hubspot.com/connected-email/hubspot-sales-not-appearing-in-outlook-inbox
HubSpot Sales Outlook desktop add-in error: 'The value of the property 'type' cannot be parsed',Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email,https://knowledge.hubspot.com/connected-email/hubspot-sales-outlook-error-the-value-of-the-property-type-cannot-be-parsed
HubSpot Sales prompts login every time Outlook on desktop is opened,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Email,https://knowledge.hubspot.com/connected-email/hubspot-sales-prompts-login-every-time-outlook-on-desktop-is-opened
Import historical email data,Connected Email,Domains; Permissions; Users; Ai; Subscriptions; Blog; Cms; Content; Knowledge Base; Contacts; Companies; Deals,https://knowledge.hubspot.com/connected-email/import-historical-email-data
Limit access to logged emails in the CRM,Connected Email,Permissions; Teams; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Email,https://knowledge.hubspot.com/connected-email/limit-access-to-logged-emails-in-the-crm
Log email in your CRM with the BCC or forwarding address,Connected Email,Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Records; Email,https://knowledge.hubspot.com/connected-email/log-email-in-your-crm-with-the-bcc-or-forwarding-address
Understand reply-only email logging rules,Connected Email,Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Records; Ads; Email,https://knowledge.hubspot.com/connected-email/log-email-replies-in-the-crm
Log your sent and received emails to the CRM,Connected Email,Permissions; Users; Ai; Subscriptions; Products; Blog; Cms; Content; Knowledge Base; Contacts; Companies; Deals,https://knowledge.hubspot.com/connected-email/log-your-sent-emails-to-the-crm
